name,found,image_url,license,author,source,wikidata_qid
Zak O'Sullivan,True,https://upload.wikimedia.org/wikipedia/commons/7/7e/FIA_F3_Austria_2022_Nr._26_O%27Sullivan.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q107021746
Grégoire Saucy,True,https://upload.wikimedia.org/wikipedia/commons/e/eb/Gr%C3%A9goire_Saucy_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q94019463
Sophia Flörsch,True,https://upload.wikimedia.org/wikipedia/commons/9/99/My_TOP_5_FAVORITE_TROPHIES_%28Floersch_on_YouTube%29_04_%28cropped%29.jpg,CC BY 3.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.youtube.com/c/SophiaFloerschOfficial/"">Sophia Floersch on YouTube</a>",wikidata_P18,Q20973715
Alex Dunne,True,https://upload.wikimedia.org/wikipedia/commons/0/02/Alex_dunne_zandvoort_2025_%28cropped2%29.jpg,CC BY-SA 4.0,Madball12345,wikidata_P18,Q113227141
Ido Cohen,True,https://upload.wikimedia.org/wikipedia/commons/7/79/Cohen_Spielberg_2021.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:AS19Portsmouth&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:AS19Portsmouth (page does not exist)"">AS19Portsmouth</a>",wikidata_P18,Q105531578
Francesco Simonazzi,True,https://upload.wikimedia.org/wikipedia/commons/e/e0/Francesco_Simonazzi_Euroformula_Race_2_Red_Bull_Ring_2023.jpg,CC BY 3.0,@EuroFormulaOpen via Youtube,wikidata_P18,Q108774013
Joshua Dürksen,True,https://upload.wikimedia.org/wikipedia/commons/7/7a/Joshua_D%C3%BCrksen%2C_ADAC_Berlin-Brandenburg%2C_F4%2C_N%C3%BCrburgring_2020.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:F1Marv&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:F1Marv (page does not exist)"">F1Marv</a>",wikidata_P18,Q99693702
Mari Boya,True,https://upload.wikimedia.org/wikipedia/commons/0/07/FREC_2021_Spielberg_Nr._64_Boya.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q106606528
Taylor Barnard,True,https://upload.wikimedia.org/wikipedia/commons/8/83/2024-05-12_Motorsport%2C_ABB_FIA_Formula_E_World_Championship%2C_Berlin_E-Prix_2024_STP_3190_by_Stepro.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Stepro"" title=""User:Stepro"">Steffen Prößdorf</a>",wikidata_P18,Q114413758
Laurens van Hoepen,True,https://upload.wikimedia.org/wikipedia/commons/a/a5/Laurens_van_Hoepen_at_the_Melbourne_Walk_during_the_2026_Australian_Grand_Prix_%28028A8345%29_cropped.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Pangalau"" title=""User:Pangalau"">Yu Chu Chin</a>",wikidata_P18,Q111418072
Pepe Martí,True,https://upload.wikimedia.org/wikipedia/commons/8/80/FIA_F2_Austria_2025_Nr._3_Mart%C3%AD.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q110698592
Enzo Fittipaldi,True,https://upload.wikimedia.org/wikipedia/commons/3/38/Enzo_Fittipaldi_%28cropped%29.jpg,CC BY-SA 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/photos/58980992@N03/"">Zach Catanzareti Photo</a>",wikidata_P18,Q28054103
